loop_step,building,building_time_step,series_length,indoor_at_time_step,setpoint_at_time_step,comfort_band_at_time_step,occupants_at_time_step,upper_boundary_at_time_step,violation_at_time_step,indoor_at_previous,setpoint_at_previous,comfort_band_at_previous,occupants_at_previous,upper_boundary_at_previous,violation_at_previous,indoor_at_last,setpoint_at_last,comfort_band_at_last,occupants_at_last,upper_boundary_at_last,violation_at_last
0,1,0,1,23.098651885986328,23.22222137451172,2.0,3.0,25.22222137451172,0,nan,nan,nan,nan,nan,0,23.098651885986328,23.22222137451172,2.0,3.0,25.22222137451172,0
0,2,0,1,24.278512954711914,24.44444465637207,2.0,1.0,26.44444465637207,0,nan,nan,nan,nan,nan,0,24.278512954711914,24.44444465637207,2.0,1.0,26.44444465637207,0
0,3,0,1,24.431562423706055,24.44444465637207,2.0,2.0,26.44444465637207,0,nan,nan,nan,nan,nan,0,24.431562423706055,24.44444465637207,2.0,2.0,26.44444465637207,0
1,1,1,2,22.234743118286133,22.22222137451172,2.0,3.0,24.22222137451172,0,23.098651885986328,23.22222137451172,2.0,3.0,25.22222137451172,0,22.234743118286133,22.22222137451172,2.0,3.0,24.22222137451172,0
1,2,1,2,24.264734268188477,24.44444465637207,2.0,1.0,26.44444465637207,0,24.278512954711914,24.44444465637207,2.0,1.0,26.44444465637207,0,24.264734268188477,24.44444465637207,2.0,1.0,26.44444465637207,0
1,3,1,2,24.44438362121582,24.44444465637207,2.0,2.0,26.44444465637207,0,24.431562423706055,24.44444465637207,2.0,2.0,26.44444465637207,0,24.44438362121582,24.44444465637207,2.0,2.0,26.44444465637207,0
2,1,2,3,22.223060607910156,22.22222137451172,2.0,3.0,24.22222137451172,0,22.234743118286133,22.22222137451172,2.0,3.0,24.22222137451172,0,22.223060607910156,22.22222137451172,2.0,3.0,24.22222137451172,0
2,2,2,3,24.214113235473633,24.44444465637207,2.0,1.0,26.44444465637207,0,24.264734268188477,24.44444465637207,2.0,1.0,26.44444465637207,0,24.214113235473633,24.44444465637207,2.0,1.0,26.44444465637207,0
2,3,2,3,24.44444465637207,24.44444465637207,2.0,2.0,26.44444465637207,0,24.44438362121582,24.44444465637207,2.0,2.0,26.44444465637207,0,24.44444465637207,24.44444465637207,2.0,2.0,26.44444465637207,0
3,1,3,4,22.22224998474121,22.22222137451172,2.0,3.0,24.22222137451172,0,22.223060607910156,22.22222137451172,2.0,3.0,24.22222137451172,0,22.22224998474121,22.22222137451172,2.0,3.0,24.22222137451172,0
3,2,3,4,24.119434356689453,24.44444465637207,2.0,1.0,26.44444465637207,0,24.214113235473633,24.44444465637207,2.0,1.0,26.44444465637207,0,24.119434356689453,24.44444465637207,2.0,1.0,26.44444465637207,0
3,3,3,4,24.444438934326172,24.44444465637207,2.0,2.0,26.44444465637207,0,24.44444465637207,24.44444465637207,2.0,2.0,26.44444465637207,0,24.444438934326172,24.44444465637207,2.0,2.0,26.44444465637207,0
4,1,4,5,22.22223663330078,22.22222137451172,2.0,3.0,24.22222137451172,0,22.22224998474121,22.22222137451172,2.0,3.0,24.22222137451172,0,22.22223663330078,22.22222137451172,2.0,3.0,24.22222137451172,0
4,2,4,5,23.995500564575195,24.44444465637207,2.0,1.0,26.44444465637207,0,24.119434356689453,24.44444465637207,2.0,1.0,26.44444465637207,0,23.995500564575195,24.44444465637207,2.0,1.0,26.44444465637207,0
4,3,4,5,24.361915588378906,24.44444465637207,2.0,1.0,26.44444465637207,0,24.444438934326172,24.44444465637207,2.0,2.0,26.44444465637207,0,24.361915588378906,24.44444465637207,2.0,1.0,26.44444465637207,0
5,1,5,6,22.22223663330078,22.22222137451172,2.0,3.0,24.22222137451172,0,22.22223663330078,22.22222137451172,2.0,3.0,24.22222137451172,0,22.22223663330078,22.22222137451172,2.0,3.0,24.22222137451172,0
5,2,5,6,23.89333152770996,24.44444465637207,2.0,1.0,26.44444465637207,0,23.995500564575195,24.44444465637207,2.0,1.0,26.44444465637207,0,23.89333152770996,24.44444465637207,2.0,1.0,26.44444465637207,0
5,3,5,6,24.287532806396484,24.44444465637207,2.0,1.0,26.44444465637207,0,24.361915588378906,24.44444465637207,2.0,1.0,26.44444465637207,0,24.287532806396484,24.44444465637207,2.0,1.0,26.44444465637207,0
6,1,6,7,22.222230911254883,22.22222137451172,2.0,2.0,24.22222137451172,0,22.22223663330078,22.22222137451172,2.0,3.0,24.22222137451172,0,22.222230911254883,22.22222137451172,2.0,2.0,24.22222137451172,0
6,2,6,7,24.196460723876953,24.77777862548828,2.0,1.0,26.77777862548828,0,23.89333152770996,24.44444465637207,2.0,1.0,26.44444465637207,0,24.196460723876953,24.77777862548828,2.0,1.0,26.77777862548828,0
6,3,6,7,24.11458969116211,24.11111068725586,2.0,1.0,26.11111068725586,0,24.287532806396484,24.44444465637207,2.0,1.0,26.44444465637207,0,24.11458969116211,24.11111068725586,2.0,1.0,26.11111068725586,0
7,1,7,8,22.332555770874023,22.33333396911621,2.0,2.0,24.33333396911621,0,22.222230911254883,22.22222137451172,2.0,2.0,24.22222137451172,0,22.332555770874023,22.33333396911621,2.0,2.0,24.33333396911621,0
7,2,7,8,24.84876251220703,25.0,2.0,1.0,27.0,0,24.196460723876953,24.77777862548828,2.0,1.0,26.77777862548828,0,24.84876251220703,25.0,2.0,1.0,27.0,0
7,3,7,8,23.349218368530273,23.33333396911621,2.0,1.0,25.33333396911621,0,24.11458969116211,24.11111068725586,2.0,1.0,26.11111068725586,0,23.349218368530273,23.33333396911621,2.0,1.0,25.33333396911621,0
8,1,8,9,22.77179718017578,22.77777862548828,2.0,2.0,24.77777862548828,0,22.332555770874023,22.33333396911621,2.0,2.0,24.33333396911621,0,22.77179718017578,22.77777862548828,2.0,2.0,24.77777862548828,0
8,2,8,9,24.991180419921875,25.0,2.0,1.0,27.0,0,24.84876251220703,25.0,2.0,1.0,27.0,0,24.991180419921875,25.0,2.0,1.0,27.0,0
8,3,8,9,23.33353614807129,23.33333396911621,2.0,1.0,25.33333396911621,0,23.349218368530273,23.33333396911621,2.0,1.0,25.33333396911621,0,23.33353614807129,23.33333396911621,2.0,1.0,25.33333396911621,0
9,1,9,10,23.266788482666016,23.33333396911621,2.0,1.0,25.33333396911621,0,22.77179718017578,22.77777862548828,2.0,2.0,24.77777862548828,0,23.266788482666016,23.33333396911621,2.0,1.0,25.33333396911621,0
9,2,9,10,24.99818992614746,25.0,2.0,1.0,27.0,0,24.991180419921875,25.0,2.0,1.0,27.0,0,24.99818992614746,25.0,2.0,1.0,27.0,0
9,3,9,10,23.333341598510742,23.33333396911621,2.0,1.0,25.33333396911621,0,23.33353614807129,23.33333396911621,2.0,1.0,25.33333396911621,0,23.333341598510742,23.33333396911621,2.0,1.0,25.33333396911621,0
10,1,10,11,24.406890869140625,24.44444465637207,2.0,1.0,26.44444465637207,0,23.266788482666016,23.33333396911621,2.0,1.0,25.33333396911621,0,24.406890869140625,24.44444465637207,2.0,1.0,26.44444465637207,0
10,2,10,11,24.998136520385742,25.0,2.0,1.0,27.0,0,24.99818992614746,25.0,2.0,1.0,27.0,0,24.998136520385742,25.0,2.0,1.0,27.0,0
10,3,10,11,23.333337783813477,23.33333396911621,2.0,1.0,25.33333396911621,0,23.333341598510742,23.33333396911621,2.0,1.0,25.33333396911621,0,23.333337783813477,23.33333396911621,2.0,1.0,25.33333396911621,0
11,1,11,12,24.444318771362305,24.44444465637207,2.0,1.0,26.44444465637207,0,24.406890869140625,24.44444465637207,2.0,1.0,26.44444465637207,0,24.444318771362305,24.44444465637207,2.0,1.0,26.44444465637207,0
11,2,11,12,24.997787475585938,25.0,2.0,0.0,27.0,0,24.998136520385742,25.0,2.0,1.0,27.0,0,24.997787475585938,25.0,2.0,0.0,27.0,0
11,3,11,12,23.333337783813477,23.33333396911621,2.0,0.0,25.33333396911621,0,23.333337783813477,23.33333396911621,2.0,1.0,25.33333396911621,0,23.333337783813477,23.33333396911621,2.0,0.0,25.33333396911621,0
12,1,12,13,24.44445037841797,24.44444465637207,2.0,1.0,26.44444465637207,0,24.444318771362305,24.44444465637207,2.0,1.0,26.44444465637207,0,24.44445037841797,24.44444465637207,2.0,1.0,26.44444465637207,0
12,2,12,13,24.996828079223633,25.0,2.0,1.0,27.0,0,24.997787475585938,25.0,2.0,0.0,27.0,0,24.996828079223633,25.0,2.0,1.0,27.0,0
12,3,12,13,23.333337783813477,23.33333396911621,2.0,1.0,25.33333396911621,0,23.333337783813477,23.33333396911621,2.0,0.0,25.33333396911621,0,23.333337783813477,23.33333396911621,2.0,1.0,25.33333396911621,0
13,1,13,14,24.4444522857666,24.44444465637207,2.0,0.0,26.44444465637207,0,24.659706115722656,24.44444465637207,2.0,1.0,26.44444465637207,0,24.4444522857666,24.44444465637207,2.0,0.0,26.44444465637207,0
13,2,13,14,24.995492935180664,25.0,2.0,0.0,27.0,0,25.462337493896484,25.0,2.0,1.0,27.0,0,24.995492935180664,25.0,2.0,0.0,27.0,0
13,3,13,14,23.33333969116211,23.33333396911621,2.0,1.0,25.33333396911621,0,23.101232528686523,23.33333396911621,2.0,1.0,25.33333396911621,0,23.33333969116211,23.33333396911621,2.0,1.0,25.33333396911621,0
14,1,14,15,24.4444580078125,24.44444465637207,2.0,0.0,26.44444465637207,0,26.76836395263672,24.44444465637207,2.0,0.0,26.44444465637207,0,24.4444580078125,24.44444465637207,2.0,0.0,26.44444465637207,0
14,2,14,15,24.992216110229492,25.0,2.0,0.0,27.0,0,26.738990783691406,25.0,2.0,0.0,27.0,0,24.992216110229492,25.0,2.0,0.0,27.0,0
14,3,14,15,23.333343505859375,23.33333396911621,2.0,0.0,25.33333396911621,0,25.010604858398438,23.33333396911621,2.0,1.0,25.33333396911621,0,23.333343505859375,23.33333396911621,2.0,0.0,25.33333396911621,0
15,1,15,16,24.444454193115234,24.44444465637207,2.0,1.0,26.44444465637207,0,27.60013198852539,24.44444465637207,2.0,0.0,26.44444465637207,0,24.444454193115234,24.44444465637207,2.0,1.0,26.44444465637207,0
15,2,15,16,24.988889694213867,25.0,2.0,1.0,27.0,0,27.637447357177734,25.0,2.0,0.0,27.0,0,24.988889694213867,25.0,2.0,1.0,27.0,0
15,3,15,16,23.333343505859375,23.33333396911621,2.0,1.0,25.33333396911621,0,25.247407913208008,23.33333396911621,2.0,0.0,25.33333396911621,0,23.333343505859375,23.33333396911621,2.0,1.0,25.33333396911621,0
16,1,16,17,23.58162498474121,23.55555534362793,2.0,0.0,25.55555534362793,0,28.511737823486328,24.44444465637207,2.0,1.0,26.44444465637207,1,23.58162498474121,23.55555534362793,2.0,0.0,25.55555534362793,0
