loop_step,building,building_time_step,completed_index,indoor_temperature,cooling_setpoint,comfort_band,upper_comfort_boundary,occupant_count,learned_cooling_action,fallback_cooling_action,applied_cooling_action,action_difference
16,1,16,15,28.511737823486328,24.44444465637207,2.0,26.44444465637207,1.0,0.09439754486083984,0.800000011920929,0.800000011920929,0.7056024670600891
16,2,16,15,28.71859359741211,25.0,2.0,27.0,1.0,0.2182416468858719,0.800000011920929,0.800000011920929,0.5817583650350571
16,3,16,15,26.31080436706543,23.33333396911621,2.0,25.33333396911621,1.0,0.13968941569328308,0.800000011920929,0.800000011920929,0.6603105962276459
18,2,18,17,28.258438110351562,25.0,2.0,27.0,1.0,0.24299336969852448,0.800000011920929,0.800000011920929,0.5570066422224045
20,1,20,19,27.65434455871582,24.44444465637207,2.0,26.44444465637207,3.0,0.045514971017837524,0.800000011920929,0.800000011920929,0.7544850409030914
22,2,22,21,25.752777099609375,23.38888931274414,2.0,25.38888931274414,1.0,0.18491806089878082,0.4000000059604645,0.4000000059604645,0.21508194506168365
24,1,24,23,23.43062400817871,20.72222137451172,2.0,22.72222137451172,2.0,0.06709644198417664,0.4000000059604645,0.4000000059604645,0.33290356397628784
32,1,32,31,24.38371467590332,22.33333396911621,2.0,24.33333396911621,3.0,0.031192973256111145,0.800000011920929,0.800000011920929,0.7688070386648178
35,3,35,34,25.948528289794922,23.88888931274414,2.0,25.88888931274414,2.0,0.1106681078672409,0.800000011920929,0.800000011920929,0.689331904053688
36,2,36,35,27.243663787841797,25.0,2.0,27.0,1.0,0.17880885303020477,0.800000011920929,0.800000011920929,0.6211911588907242
38,1,38,37,26.997663497924805,24.44444465637207,2.0,26.44444465637207,3.0,0.08249379694461823,0.800000011920929,0.800000011920929,0.7175062149763107
38,2,38,37,27.149761199951172,23.88888931274414,2.0,25.88888931274414,1.0,0.20748083293437958,0.800000011920929,0.800000011920929,0.5925191789865494
39,3,39,38,26.445724487304688,23.88888931274414,2.0,25.88888931274414,2.0,0.11897945404052734,0.800000011920929,0.800000011920929,0.6810205578804016
40,2,40,39,27.81014633178711,25.0,2.0,27.0,1.0,0.16030335426330566,0.800000011920929,0.800000011920929,0.6396966576576233
41,3,41,40,25.77133560180664,23.33333396911621,2.0,25.33333396911621,2.0,0.12253009527921677,0.800000011920929,0.800000011920929,0.6774699166417122
42,1,42,41,27.880043029785156,24.5,2.0,26.5,1.0,0.060397159308195114,0.800000011920929,0.800000011920929,0.7396028526127338
43,2,43,42,27.258493423461914,25.0,2.0,27.0,1.0,0.09618733078241348,0.800000011920929,0.800000011920929,0.7038126811385155
46,1,46,45,25.914321899414062,22.0,2.0,24.0,3.0,0.07711474597454071,0.4000000059604645,0.4000000059604645,0.32288525998592377
46,3,46,45,25.224437713623047,23.11111068725586,2.0,25.11111068725586,2.0,0.12973737716674805,0.4000000059604645,0.4000000059604645,0.27026262879371643
48,1,48,47,23.251922607421875,20.0,2.0,22.0,3.0,0.052492909133434296,0.4000000059604645,0.4000000059604645,0.3475070968270302
52,1,52,51,22.65470314025879,20.0,2.0,22.0,2.0,0.023907165974378586,0.4000000059604645,0.4000000059604645,0.3760928399860859
57,1,57,56,22.606536865234375,20.0,2.0,22.0,3.0,0.03335593640804291,0.800000011920929,0.800000011920929,0.766644075512886
60,2,60,59,27.40750503540039,25.0,2.0,27.0,1.0,0.18807916343212128,0.800000011920929,0.800000011920929,0.6119208484888077
63,2,63,62,26.295257568359375,23.72222137451172,2.0,25.72222137451172,1.0,0.18529872596263885,0.800000011920929,0.800000011920929,0.6147012859582901
63,3,63,62,25.699764251708984,23.33333396911621,2.0,25.33333396911621,2.0,0.11907655745744705,0.800000011920929,0.800000011920929,0.6809234544634819
65,1,65,64,25.330772399902344,22.22222137451172,2.0,24.22222137451172,2.0,0.06959637254476547,0.800000011920929,0.800000011920929,0.7304036393761635
89,1,89,88,26.731639862060547,24.44444465637207,2.0,26.44444465637207,2.0,0.061005692929029465,0.800000011920929,0.800000011920929,0.7389943189918995
109,1,109,108,26.838621139526367,24.44444465637207,2.0,26.44444465637207,1.0,0.09103678166866302,0.800000011920929,0.800000011920929,0.7089632302522659
112,3,112,111,26.817764282226562,24.44444465637207,2.0,26.44444465637207,1.0,0.13560333847999573,0.800000011920929,0.800000011920929,0.6643966734409332
113,1,113,112,26.54239273071289,24.38888931274414,2.0,26.38888931274414,2.0,0.0939454510807991,0.800000011920929,0.800000011920929,0.7060545608401299
