algorithm,seed,cost_function,value,name,level
BC,1,all_time_peak_average,0.8773380272005745,District,district
BC,1,annual_normalized_unserved_energy_total,0.01152897463060616,District,district
BC,1,carbon_emissions_total,0.6002156867049412,District,district
BC,1,cost_total,0.5694208143995736,District,district
BC,1,daily_one_minus_load_factor_average,1.1343823552303618,District,district
BC,1,daily_peak_average,0.7774985897152927,District,district
BC,1,discomfort_cold_delta_average,0.03841204643249512,District,district
BC,1,discomfort_cold_delta_maximum,1.4157663981119792,District,district
BC,1,discomfort_cold_delta_minimum,0.0,District,district
BC,1,discomfort_cold_proportion,0.0,District,district
BC,1,discomfort_hot_delta_average,2.623552098097625,District,district
BC,1,discomfort_hot_delta_maximum,9.59841537475586,District,district
BC,1,discomfort_hot_delta_minimum,0.0,District,district
BC,1,discomfort_hot_proportion,0.6459995269073093,District,district
BC,1,discomfort_proportion,0.6459995269073093,District,district
BC,1,electricity_consumption_total,0.60962743398869,District,district
BC,1,monthly_one_minus_load_factor_average,1.0738191877759133,District,district
BC,1,one_minus_thermal_resilience_proportion,0.8206349206349207,District,district
BC,1,power_outage_normalized_unserved_energy_total,0.5332804144779042,District,district
BC,1,ramping_average,0.8831559776328836,District,district
BC,1,zero_net_energy,0.5848199418625174,District,district
BC,1,electricity_consumption_total,0.5791647966429373,Building_1,building
BC,1,zero_net_energy,0.5267196989791044,Building_1,building
BC,1,carbon_emissions_total,0.5722965516468559,Building_1,building
BC,1,cost_total,0.5445642475290315,Building_1,building
BC,1,discomfort_proportion,0.7349228611500701,Building_1,building
BC,1,discomfort_cold_proportion,0.0,Building_1,building
BC,1,discomfort_hot_proportion,0.7349228611500701,Building_1,building
BC,1,discomfort_cold_delta_minimum,0.0,Building_1,building
BC,1,discomfort_cold_delta_maximum,1.6969566345214844,Building_1,building
BC,1,discomfort_cold_delta_average,0.03993988037109375,Building_1,building
BC,1,discomfort_hot_delta_minimum,0.0,Building_1,building
