algorithm,seed,step,level,building,net_electricity
BC,1,1,building,1,2.0369338989257812
BC,1,1,building,2,0.5699639320373535
BC,1,1,building,3,1.689454197883606
BC,1,1,district,0,4.296352028846741
BC,1,2,building,1,0.8479256629943848
BC,1,2,building,2,0.1899004876613617
BC,1,2,building,3,0.47319296002388
BC,1,2,district,0,1.5110191106796265
BC,1,3,building,1,0.726631224155426
BC,1,3,building,2,0.18859870731830597
BC,1,3,building,3,0.4455188810825348
BC,1,3,district,0,1.3607488125562668
BC,1,4,building,1,0.6344427466392517
BC,1,4,building,2,0.19133423268795013
BC,1,4,building,3,0.433448851108551
BC,1,4,district,0,1.2592258304357529
BC,1,5,building,1,0.60880047082901
BC,1,5,building,2,0.2062193900346756
BC,1,5,building,3,0.4351603388786316
BC,1,5,district,0,1.2501801997423172
BC,1,6,building,1,1.0022737979888916
BC,1,6,building,2,0.23485809564590454
BC,1,6,building,3,0.49980950355529785
BC,1,6,district,0,1.736941397190094
BC,1,7,building,1,1.6092666387557983
BC,1,7,building,2,0.25215399265289307
BC,1,7,building,3,1.033126950263977
BC,1,7,district,0,2.8945475816726685
BC,1,8,building,1,0.5358789563179016
BC,1,8,building,2,0.3491968810558319
BC,1,8,building,3,0.88405442237854
BC,1,8,district,0,1.7691302597522736
BC,1,9,building,1,4.654911518096924
BC,1,9,building,2,2.9378323554992676
BC,1,9,building,3,2.187143325805664
BC,1,9,district,0,9.779887199401855
BC,1,10,building,1,0.48427948355674744
BC,1,10,building,2,0.6762306094169617
BC,1,10,building,3,2.1317636966705322
BC,1,10,district,0,3.2922737896442413
BC,1,11,building,1,-0.35530832409858704
BC,1,11,building,2,0.6374651789665222
BC,1,11,building,3,1.2844895124435425
BC,1,11,district,0,1.5666463673114777
BC,1,12,building,1,1.818915843963623
BC,1,12,building,2,0.6724975109100342
BC,1,12,building,3,0.9694104790687561
BC,1,12,district,0,3.4608238339424133
BC,1,13,building,1,0.26762357354164124
BC,1,13,building,2,0.9744141697883606
BC,1,13,building,3,0.7307909727096558
BC,1,13,district,0,1.9728287160396576
BC,1,14,building,1,-0.900736927986145
BC,1,14,building,2,-0.05131501331925392
BC,1,14,building,3,-0.3489762544631958
BC,1,14,district,0,-1.3010281957685947
BC,1,15,building,1,-0.5582312941551208
BC,1,15,building,2,0.06536798179149628
BC,1,15,building,3,-0.49094823002815247
BC,1,15,district,0,-0.983811542391777
BC,1,16,building,1,0.5566296577453613
BC,1,16,building,2,1.325498342514038
BC,1,16,building,3,0.3488156795501709
BC,1,16,district,0,2.2309436798095703
BC,1,17,building,1,0.2226787507534027
BC,1,17,building,2,0.5205413103103638
BC,1,17,building,3,0.050758328288793564
BC,1,17,district,0,0.79397838935256
BC,1,18,building,1,0.5722466707229614
BC,1,18,building,2,0.5356820821762085
BC,1,18,building,3,0.43291768431663513
BC,1,18,district,0,1.540846437215805
BC,1,19,building,1,0.8548244833946228
BC,1,19,building,2,0.39044561982154846
BC,1,19,building,3,1.0505188703536987
BC,1,19,district,0,2.29578897356987
BC,1,20,building,1,1.4692176580429077
BC,1,20,building,2,0.6204623579978943
BC,1,20,building,3,1.2639689445495605
BC,1,20,district,0,3.3536489605903625
BC,1,21,building,1,0.9211737513542175
BC,1,21,building,2,1.0101150274276733
BC,1,21,building,3,1.3534172773361206
BC,1,21,district,0,3.2847060561180115
BC,1,22,building,1,1.328876256942749
BC,1,22,building,2,0.6168803572654724
BC,1,22,building,3,2.2456088066101074
BC,1,22,district,0,4.191365420818329
BC,1,23,building,1,0.8138191103935242
BC,1,23,building,2,0.422519326210022
BC,1,23,building,3,2.251056671142578
BC,1,23,district,0,3.4873951077461243
BC,1,24,building,1,0.74838787317276
BC,1,24,building,2,0.4182741045951843
