algorithm,dataset,variant,steps,seed,num_episodes,num_transitions,reward_noise_scale,action_noise_scale,score
IQL,pendulum,half,5000,0,250,49750,0.5,0.2,-1270.795239208608
BC,pendulum,full,20000,0,500,99500,0.5,0.2,-491.32254517660806
IQL,pendulum,full,20000,0,500,99500,0.5,0.2,-538.8620582983629
CQL,pendulum,full,20000,0,500,99500,0.5,0.2,-1067.691552349181
BC,pendulum,full,20000,1,500,99500,0.5,0.2,-535.2284098799653
IQL,pendulum,full,20000,1,500,99500,0.5,0.2,-550.7845304261172
CQL,pendulum,full,20000,1,500,99500,0.5,0.2,-942.5981710713712
BC,pendulum,full,20000,2,500,99500,0.5,0.2,-638.903275421163
IQL,pendulum,full,20000,2,500,99500,0.5,0.2,-487.6511789947187
CQL,pendulum,full,20000,2,500,99500,0.5,0.2,-671.7011571823446
BC,pendulum,half,20000,0,250,49750,0.5,0.2,-520.657015792799
IQL,pendulum,half,20000,0,250,49750,0.5,0.2,-334.9882112047437
CQL,pendulum,half,20000,0,250,49750,0.5,0.2,-330.4758322722324
BC,pendulum,half,20000,1,250,49750,0.5,0.2,-984.372546836544
IQL,pendulum,half,20000,1,250,49750,0.5,0.2,-1024.4428952999888
CQL,pendulum,half,20000,1,250,49750,0.5,0.2,-1251.6910086841538
BC,pendulum,half,20000,2,250,49750,0.5,0.2,-944.466878941548
IQL,pendulum,half,20000,2,250,49750,0.5,0.2,-1009.8236791044324
CQL,pendulum,half,20000,2,250,49750,0.5,0.2,-838.0353555737286
BC,pendulum,quarter,20000,0,125,24875,0.5,0.2,-804.5892507349697
IQL,pendulum,quarter,20000,0,125,24875,0.5,0.2,-1354.4727879198856
CQL,pendulum,quarter,20000,0,125,24875,0.5,0.2,-1359.0338650983424
BC,pendulum,quarter,20000,1,125,24875,0.5,0.2,-771.2804614943796
IQL,pendulum,quarter,20000,1,125,24875,0.5,0.2,-1345.7309514098988
CQL,pendulum,quarter,20000,1,125,24875,0.5,0.2,-1339.2971657384137
BC,pendulum,quarter,20000,2,125,24875,0.5,0.2,-449.5085886329797
IQL,pendulum,quarter,20000,2,125,24875,0.5,0.2,-1292.515032332199
CQL,pendulum,quarter,20000,2,125,24875,0.5,0.2,-1352.6298082341564
BC,pendulum,reward_noise,20000,0,500,99500,0.5,0.2,-349.03917395844803
IQL,pendulum,reward_noise,20000,0,500,99500,0.5,0.2,-619.9562306763058
CQL,pendulum,reward_noise,20000,0,500,99500,0.5,0.2,-1070.7640975632858
BC,pendulum,reward_noise,20000,1,500,99500,0.5,0.2,-798.7654957337706
IQL,pendulum,reward_noise,20000,1,500,99500,0.5,0.2,-555.3384594709873
CQL,pendulum,reward_noise,20000,1,500,99500,0.5,0.2,-864.0074346308941
BC,pendulum,reward_noise,20000,2,500,99500,0.5,0.2,-581.7170097342315
IQL,pendulum,reward_noise,20000,2,500,99500,0.5,0.2,-558.278112692295
CQL,pendulum,reward_noise,20000,2,500,99500,0.5,0.2,-941.0011188137318
BC,pendulum,action_noise,20000,0,500,99500,0.5,0.2,-634.5765822875843
IQL,pendulum,action_noise,20000,0,500,99500,0.5,0.2,-396.8608481643867
CQL,pendulum,action_noise,20000,0,500,99500,0.5,0.2,-789.2333788929543
BC,pendulum,action_noise,20000,1,500,99500,0.5,0.2,-678.2086592201085
IQL,pendulum,action_noise,20000,1,500,99500,0.5,0.2,-620.34292216186
CQL,pendulum,action_noise,20000,1,500,99500,0.5,0.2,-689.5965942902751
BC,pendulum,action_noise,20000,2,500,99500,0.5,0.2,-543.5111140575945
IQL,pendulum,action_noise,20000,2,500,99500,0.5,0.2,-422.6963147607023
CQL,pendulum,action_noise,20000,2,500,99500,0.5,0.2,-593.9847046855715
IQL,pendulum,half,5000,0,250,49750,0.5,0.2,-1224.3686502254063
IQL,pendulum,half,5000,0,250,49750,0.5,0.2,-1211.5416639509508
