variant,algorithm,mean,std,experiment
action_noise,BC,-618.7654518550958,68.72664004857762,dataset_variant
action_noise,CQL,-690.938225956267,97.63125102435474,dataset_variant
action_noise,IQL,-479.96669502898294,122.25375941707532,dataset_variant
full,BC,-555.1514101592455,75.78068645753459,dataset_variant
full,CQL,-893.9969602009655,202.41950632201684,dataset_variant
full,IQL,-525.7659225730662,33.542310503924085,dataset_variant
half,BC,-816.4988138569637,256.98228089484087,dataset_variant
half,CQL,-806.7340655100382,461.40457126327897,dataset_variant
half,IQL,-789.751595203055,393.9044705759757,dataset_variant
quarter,BC,-675.126100287443,196.09899294497265,dataset_variant
quarter,CQL,-1350.3202796903042,10.069000296812217,dataset_variant
quarter,IQL,-1330.9062572206612,33.53385658881453,dataset_variant
reward_noise,BC,-576.5072264754834,224.9084202638767,dataset_variant
reward_noise,CQL,-958.5908836693038,104.49463760160326,dataset_variant
reward_noise,IQL,-577.8576009465295,36.48809886948074,dataset_variant
