algorithm,dataset,variant,steps,seed,expectile,weight_temp,num_episodes,num_transitions,score
IQL,pendulum,quarter,20000,0,0.5,1.0,125,24875,-1356.611304602602
IQL,pendulum,quarter,20000,1,0.5,1.0,125,24875,-1205.0609619551865
IQL,pendulum,quarter,20000,2,0.5,1.0,125,24875,-695.9303930306036
IQL,pendulum,quarter,20000,0,0.5,3.0,125,24875,-1348.08562900681
IQL,pendulum,quarter,20000,1,0.5,3.0,125,24875,-1097.8799576361837
IQL,pendulum,quarter,20000,2,0.5,3.0,125,24875,-786.2322844374804
IQL,pendulum,quarter,20000,0,0.5,10.0,125,24875,-1257.943950765959
IQL,pendulum,quarter,20000,1,0.5,10.0,125,24875,-1070.380780484349
IQL,pendulum,quarter,20000,2,0.5,10.0,125,24875,-578.7107399446999
IQL,pendulum,quarter,20000,0,0.7,1.0,125,24875,-969.4568806303048
IQL,pendulum,quarter,20000,1,0.7,1.0,125,24875,-1015.0123725151444
IQL,pendulum,quarter,20000,2,0.7,1.0,125,24875,-1295.6610129233045
IQL,pendulum,quarter,20000,0,0.7,3.0,125,24875,-1255.7802417984058
IQL,pendulum,quarter,20000,1,0.7,3.0,125,24875,-1098.8446071204728
IQL,pendulum,quarter,20000,2,0.7,3.0,125,24875,-942.544637897204
IQL,pendulum,quarter,20000,0,0.7,10.0,125,24875,-1393.830374951946
IQL,pendulum,quarter,20000,1,0.7,10.0,125,24875,-1116.0560483726138
IQL,pendulum,quarter,20000,2,0.7,10.0,125,24875,-833.1218362946596
IQL,pendulum,quarter,20000,0,0.9,1.0,125,24875,-1218.2057844562846
IQL,pendulum,quarter,20000,1,0.9,1.0,125,24875,-1209.5152540729182
IQL,pendulum,quarter,20000,2,0.9,1.0,125,24875,-897.4605936286159
IQL,pendulum,quarter,20000,0,0.9,3.0,125,24875,-1347.0313998527138
IQL,pendulum,quarter,20000,1,0.9,3.0,125,24875,-1243.987454507173
IQL,pendulum,quarter,20000,2,0.9,3.0,125,24875,-472.26560637656473
IQL,pendulum,quarter,20000,0,0.9,10.0,125,24875,-1133.1687494802234
IQL,pendulum,quarter,20000,1,0.9,10.0,125,24875,-1346.285106749072
IQL,pendulum,quarter,20000,2,0.9,10.0,125,24875,-762.6606567877845
