environment,algorithm,variant,steps,seed,num_episodes,num_transitions,eval_episodes,reward_noise_scale,action_noise_scale,score_mean,score_std
MountainCarContinuous-v0,IQL,full,5000,0,120,13026,10,0.5,0.2,-5.272734617470549,0.0031301231428171
MountainCarContinuous-v0,BC,full,5000,0,120,13026,10,0.5,0.2,-5.272734617470549,0.0031301231428171
MountainCarContinuous-v0,CQL,full,5000,0,120,13026,10,0.5,0.2,-5.272734617470549,0.0031301231428171
MountainCarContinuous-v0,BC,full,20000,0,120,13026,10,0.5,0.2,94.16078937275802,0.725326609575971
MountainCarContinuous-v0,IQL,full,20000,0,120,13026,10,0.5,0.2,93.58452060891176,0.2358646435802756
MountainCarContinuous-v0,CQL,full,20000,0,120,13026,10,0.5,0.2,95.07468441439786,0.5743044362558695
MountainCarContinuous-v0,BC,full,20000,1,120,13026,10,0.5,0.2,94.11160076829692,0.5741838339343708
MountainCarContinuous-v0,IQL,full,20000,1,120,13026,10,0.5,0.2,94.28297143495082,0.1049719704228309
MountainCarContinuous-v0,CQL,full,20000,1,120,13026,10,0.5,0.2,93.7410131298677,1.242608922790078
MountainCarContinuous-v0,BC,full,20000,2,120,13026,10,0.5,0.2,94.94671132801685,0.5637035747775933
MountainCarContinuous-v0,IQL,full,20000,2,120,13026,10,0.5,0.2,93.67627067218427,0.2382213191793452
MountainCarContinuous-v0,CQL,full,20000,2,120,13026,10,0.5,0.2,94.09970997334511,1.1458477422671924
MountainCarContinuous-v0,BC,half,20000,0,60,6490,10,0.5,0.2,93.25713706744143,0.4246241012615082
MountainCarContinuous-v0,IQL,half,20000,0,60,6490,10,0.5,0.2,94.13091345955029,0.3624754894223338
MountainCarContinuous-v0,CQL,half,20000,0,60,6490,10,0.5,0.2,94.6556487485632,0.8750862788412115
MountainCarContinuous-v0,BC,half,20000,1,60,6461,10,0.5,0.2,94.29180579223346,0.8041949049869567
MountainCarContinuous-v0,IQL,half,20000,1,60,6461,10,0.5,0.2,93.83853118031668,0.1155612878106865
MountainCarContinuous-v0,CQL,half,20000,1,60,6461,10,0.5,0.2,94.04560953265464,1.3972463809321891
MountainCarContinuous-v0,BC,half,20000,2,60,6523,10,0.5,0.2,94.3490549159321,0.7425194274941991
MountainCarContinuous-v0,IQL,half,20000,2,60,6523,10,0.5,0.2,93.95441738486608,0.1653428823452561
MountainCarContinuous-v0,CQL,half,20000,2,60,6523,10,0.5,0.2,94.32903933608928,1.2003884550590629
MountainCarContinuous-v0,BC,quarter,20000,0,30,3290,10,0.5,0.2,93.78833067312009,0.0771538237470987
MountainCarContinuous-v0,IQL,quarter,20000,0,30,3290,10,0.5,0.2,94.0559388852324,0.2013151854423877
MountainCarContinuous-v0,CQL,quarter,20000,0,30,3290,10,0.5,0.2,94.43826984263842,1.2292654082335883
MountainCarContinuous-v0,BC,quarter,20000,1,30,3207,10,0.5,0.2,94.13558045079648,0.3056826728197944
MountainCarContinuous-v0,IQL,quarter,20000,1,30,3207,10,0.5,0.2,94.38951564193762,0.2214119923463212
MountainCarContinuous-v0,CQL,quarter,20000,1,30,3207,10,0.5,0.2,94.02265016333942,1.3142885382081466
MountainCarContinuous-v0,BC,quarter,20000,2,30,3276,10,0.5,0.2,94.59396691791964,0.5346152906620072
MountainCarContinuous-v0,IQL,quarter,20000,2,30,3276,10,0.5,0.2,94.56833533966058,0.7514442094705149
MountainCarContinuous-v0,CQL,quarter,20000,2,30,3276,10,0.5,0.2,94.3341272099391,1.1810764628688377
