algorithm,dataset,steps,seed,score
BC,pendulum,5000,42,-1155.805802010046
IQL,pendulum,5000,42,-1306.937503145727
CQL,pendulum,5000,42,-1092.7619444355294
BC,pendulum,5000,0,-1402.6510976654386
BC,pendulum,20000,0,-864.1667631428476
IQL,pendulum,20000,0,-564.1509518489577
CQL,pendulum,20000,0,-278.46428372788904
BC,pendulum,20000,1,-432.6352014667499
IQL,pendulum,20000,1,-520.9847386772766
CQL,pendulum,20000,1,-484.873906943393
BC,pendulum,20000,2,-772.163187633933
IQL,pendulum,20000,2,-266.7269867200303
CQL,pendulum,20000,2,-536.7861035394917
